Ep 20 | Yield: 229.20 | Violence: 4.67 | Coop: 5.12 | Sel: 1.09
Ep 40 | Yield: 297.42 | Violence: 0.82 | Coop: 2.40 | Sel: 2.94
Ep 60 | Yield: 304.25 | Violence: 0.38 | Coop: 1.03 | Sel: 2.76
Ep 80 | Yield: 310.57 | Violence: 0.41 | Coop: 1.14 | Sel: 2.80
Ep 100 | Yield: 300.38 | Violence: 0.76 | Coop: 1.45 | Sel: 1.91
Ep 120 | Yield: 327.11 | Violence: 1.04 | Coop: 1.54 | Sel: 1.48
Ep 140 | Yield: 331.95 | Violence: 1.66 | Coop: 1.72 | Sel: 1.04
Ep 160 | Yield: 322.72 | Violence: 3.35 | Coop: 2.56 | Sel: 0.76
Ep 180 | Yield: 320.66 | Violence: 6.79 | Coop: 4.03 | Sel: 0.59
Ep 200 | Yield: 314.74 | Violence: 6.63 | Coop: 4.77 | Sel: 0.72
Ep 220 | Yield: 283.66 | Violence: 7.53 | Coop: 4.62 | Sel: 0.61
Ep 240 | Yield: 288.61 | Violence: 7.12 | Coop: 5.12 | Sel: 0.72
Ep 260 | Yield: 294.73 | Violence: 7.91 | Coop: 4.56 | Sel: 0.58
Ep 280 | Yield: 303.82 | Violence: 7.71 | Coop: 4.83 | Sel: 0.63
Ep 300 | Yield: 264.61 | Violence: 9.71 | Coop: 4.93 | Sel: 0.51
Ep 320 | Yield: 257.86 | Violence: 11.28 | Coop: 4.67 | Sel: 0.41
Ep 340 | Yield: 248.96 | Violence: 11.87 | Coop: 5.27 | Sel: 0.44
Ep 360 | Yield: 231.51 | Violence: 12.52 | Coop: 5.34 | Sel: 0.43
Ep 380 | Yield: 185.68 | Violence: 12.37 | Coop: 4.88 | Sel: 0.39
Ep 400 | Yield: 137.04 | Violence: 11.32 | Coop: 3.83 | Sel: 0.34
Ep 420 | Yield: 127.64 | Violence: 9.83 | Coop: 3.71 | Sel: 0.38
Ep 440 | Yield: 139.72 | Violence: 7.61 | Coop: 3.84 | Sel: 0.50
Ep 460 | Yield: 143.77 | Violence: 7.12 | Coop: 3.77 | Sel: 0.53
Ep 480 | Yield: 169.56 | Violence: 6.05 | Coop: 3.57 | Sel: 0.59
Ep 500 | Yield: 186.48 | Violence: 5.61 | Coop: 3.66 | Sel: 0.65
Ep 520 | Yield: 199.87 | Violence: 4.85 | Coop: 3.48 | Sel: 0.72
Ep 540 | Yield: 222.85 | Violence: 4.09 | Coop: 3.36 | Sel: 0.82
Ep 560 | Yield: 260.64 | Violence: 3.08 | Coop: 3.36 | Sel: 1.09
Ep 580 | Yield: 295.54 | Violence: 2.22 | Coop: 3.41 | Sel: 1.53
Ep 600 | Yield: 310.69 | Violence: 2.00 | Coop: 2.97 | Sel: 1.49
Ep 620 | Yield: 294.08 | Violence: 2.50 | Coop: 2.64 | Sel: 1.06
Ep 640 | Yield: 322.66 | Violence: 1.63 | Coop: 2.63 | Sel: 1.62
Ep 660 | Yield: 309.56 | Violence: 1.42 | Coop: 2.62 | Sel: 1.85
Ep 680 | Yield: 323.15 | Violence: 1.40 | Coop: 2.56 | Sel: 1.83
Ep 700 | Yield: 316.79 | Violence: 1.14 | Coop: 2.14 | Sel: 1.88
Ep 720 | Yield: 314.94 | Violence: 1.01 | Coop: 2.08 | Sel: 2.07
Ep 740 | Yield: 324.29 | Violence: 0.61 | Coop: 1.81 | Sel: 2.97
Ep 760 | Yield: 329.84 | Violence: 0.78 | Coop: 1.92 | Sel: 2.46
Ep 780 | Yield: 331.87 | Violence: 0.65 | Coop: 1.72 | Sel: 2.64
Ep 800 | Yield: 342.51 | Violence: 0.47 | Coop: 1.18 | Sel: 2.47
Ep 820 | Yield: 332.52 | Violence: 0.34 | Coop: 0.96 | Sel: 2.80
Ep 840 | Yield: 338.84 | Violence: 0.26 | Coop: 0.84 | Sel: 3.26
Ep 860 | Yield: 349.06 | Violence: 0.12 | Coop: 0.49 | Sel: 3.93
Ep 880 | Yield: 341.55 | Violence: 0.23 | Coop: 0.47 | Sel: 2.07
Ep 900 | Yield: 350.73 | Violence: 0.29 | Coop: 0.65 | Sel: 2.23
Ep 920 | Yield: 346.24 | Violence: 0.38 | Coop: 0.82 | Sel: 2.13
Ep 940 | Yield: 370.19 | Violence: 0.77 | Coop: 1.29 | Sel: 1.68
Ep 960 | Yield: 361.60 | Violence: 1.32 | Coop: 1.73 | Sel: 1.30
Ep 980 | Yield: 362.25 | Violence: 3.59 | Coop: 3.23 | Sel: 0.90
Ep 1000 | Yield: 342.49 | Violence: 6.01 | Coop: 4.33 | Sel: 0.72
