config,mode,seed,episode,env,scarcity,rollout_path,checkpoint_path,config_path,n_rows,embedding_dim,measurement_1_probes.class_counts.NEUTRAL,measurement_1_probes.class_counts.ZAP_AGENT,measurement_1_probes.class_counts.BEING_ZAPPED,measurement_1_probes.class_counts.APPLE_EATEN,measurement_1_probes.probe_5way_auroc_mean,measurement_1_probes.probe_5way_auroc_std,measurement_1_probes.probe_5way_f1_mean,measurement_1_probes.n_aggressor,measurement_1_probes.n_victim,measurement_1_probes.probe_agg_vs_vic_auroc,measurement_2_cka.cka_matrix.NEUTRAL.NEUTRAL,measurement_2_cka.cka_matrix.NEUTRAL.ZAP_AGENT,measurement_2_cka.cka_matrix.NEUTRAL.BEING_ZAPPED,measurement_2_cka.cka_matrix.NEUTRAL.APPLE_EATEN,measurement_2_cka.cka_matrix.ZAP_AGENT.NEUTRAL,measurement_2_cka.cka_matrix.ZAP_AGENT.ZAP_AGENT,measurement_2_cka.cka_matrix.ZAP_AGENT.BEING_ZAPPED,measurement_2_cka.cka_matrix.ZAP_AGENT.APPLE_EATEN,measurement_2_cka.cka_matrix.BEING_ZAPPED.NEUTRAL,measurement_2_cka.cka_matrix.BEING_ZAPPED.ZAP_AGENT,measurement_2_cka.cka_matrix.BEING_ZAPPED.BEING_ZAPPED,measurement_2_cka.cka_matrix.BEING_ZAPPED.APPLE_EATEN,measurement_2_cka.cka_matrix.APPLE_EATEN.NEUTRAL,measurement_2_cka.cka_matrix.APPLE_EATEN.ZAP_AGENT,measurement_2_cka.cka_matrix.APPLE_EATEN.BEING_ZAPPED,measurement_2_cka.cka_matrix.APPLE_EATEN.APPLE_EATEN,measurement_2_cka.n_per_role_cka,measurement_2_cka.class_counts.NEUTRAL,measurement_2_cka.class_counts.ZAP_AGENT,measurement_2_cka.class_counts.BEING_ZAPPED,measurement_2_cka.class_counts.ZAP_WASTE,measurement_2_cka.class_counts.APPLE_EATEN,measurement_2_cka.cka_agg_vs_vic,measurement_3_rsa.prototype_cosdist_matrix.NEUTRAL.NEUTRAL,measurement_3_rsa.prototype_cosdist_matrix.NEUTRAL.ZAP_AGENT,measurement_3_rsa.prototype_cosdist_matrix.NEUTRAL.BEING_ZAPPED,measurement_3_rsa.prototype_cosdist_matrix.NEUTRAL.APPLE_EATEN,measurement_3_rsa.prototype_cosdist_matrix.ZAP_AGENT.NEUTRAL,measurement_3_rsa.prototype_cosdist_matrix.ZAP_AGENT.ZAP_AGENT,measurement_3_rsa.prototype_cosdist_matrix.ZAP_AGENT.BEING_ZAPPED,measurement_3_rsa.prototype_cosdist_matrix.ZAP_AGENT.APPLE_EATEN,measurement_3_rsa.prototype_cosdist_matrix.BEING_ZAPPED.NEUTRAL,measurement_3_rsa.prototype_cosdist_matrix.BEING_ZAPPED.ZAP_AGENT,measurement_3_rsa.prototype_cosdist_matrix.BEING_ZAPPED.BEING_ZAPPED,measurement_3_rsa.prototype_cosdist_matrix.BEING_ZAPPED.APPLE_EATEN,measurement_3_rsa.prototype_cosdist_matrix.APPLE_EATEN.NEUTRAL,measurement_3_rsa.prototype_cosdist_matrix.APPLE_EATEN.ZAP_AGENT,measurement_3_rsa.prototype_cosdist_matrix.APPLE_EATEN.BEING_ZAPPED,measurement_3_rsa.prototype_cosdist_matrix.APPLE_EATEN.APPLE_EATEN,measurement_3_rsa.class_counts.NEUTRAL,measurement_3_rsa.class_counts.ZAP_AGENT,measurement_3_rsa.class_counts.BEING_ZAPPED,measurement_3_rsa.class_counts.ZAP_WASTE,measurement_3_rsa.class_counts.APPLE_EATEN,measurement_3_rsa.cosdist_agg_vs_vic,measurement_4_gradient_transfer.gradient_transfer_n_pairs,measurement_4_gradient_transfer.gradient_transfer_cos_mean,measurement_4_gradient_transfer.gradient_transfer_cos_std,measurement_4_gradient_transfer.gradient_transfer_cos_median,measurement_4_gradient_transfer.gradient_transfer_cos_abs_mean,elapsed_sec,Episode,ViolenceRate_per_agent_step,BeingZappedRate_per_agent_step,CooperationRate_per_agent_step,AppleRate_per_agent_step,BeamUseRate_per_agent_step,AvgReturn_per_agent,EthicalSelectivity,SkippedMinibatches,n_min_threshold,underpowered_at_this_checkpoint,measurement_1_probes.probe_agg_vs_vic_auroc.confirmatory_nmin100,measurement_2_cka.cka_agg_vs_vic.confirmatory_nmin100
m1_env_A_sc030,baseline,42,200,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep200.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep200.pt,configs/m1_env_A_sc030.yaml,80000,64,61449,162,170,18219,0.5894857280483138,0.0044801905127685,0.2485005252050481,162,170,0.3623830213903743,1.0,0.0009169415570795,0.0034217936918139,0.0078501226380467,0.0009169415570795,1.0,0.0130328051745891,0.0019885217770934,0.0034217943903058,0.0130328051745891,1.0,0.0219524782150983,0.0078501226380467,0.0019885222427546,0.0219524782150983,1.0,162,61449,162,170,0,18219,0.0130328051745891,0.0,0.0408713817596435,0.0381005406379699,0.0066834092140197,0.0408713817596435,-1.1920928955078125e-07,0.0001247525215148,0.0796234011650085,0.0381005406379699,0.0001247525215148,5.960464477539064e-08,0.0758560895919799,0.0066834092140197,0.0796234011650085,0.0758560895919799,-1.1920928955078125e-07,61449,162,170,0,18219,0.0001247525215148,128,-0.1330125778913498,0.4195639491081238,-0.2447925806045532,0.3855710029602051,327.2,200,0.0017,0.0017,0.0,0.2216875,0.0318125,221.6875,0.0,0,100,False,0.3623830213903743,0.0130328051745891
m1_env_A_sc030,baseline,42,400,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep400.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep400.pt,configs/m1_env_A_sc030.yaml,80000,64,63702,205,208,15885,0.6177250307491706,0.0044151218954202,0.2512204167113288,205,208,0.3963400470241636,1.0,0.0012418888509273,0.0028511348646134,0.0054108723998069,0.0012418888509273,1.0,0.0063974135555326,0.0108542991802096,0.0028511348646134,0.0063974126242101,1.0,0.0065333819948136,0.0054108723998069,0.0108543019741773,0.0065333819948136,1.0,205,63702,205,208,0,15885,0.0063974135555326,5.960464477539064e-08,0.0264238119125366,0.0284708738327026,0.0118495821952819,0.0264238119125366,0.0,0.0001224875450134,0.0679695606231689,0.0284708738327026,0.0001224875450134,-1.1920928955078125e-07,0.0717378854751586,0.0118495821952819,0.0679695606231689,0.0717378854751586,1.1920928955078125e-07,63702,205,208,0,15885,0.0001224875450134,128,-0.2544591724872589,0.2683364748954773,-0.312081515789032,0.3306520581245422,422.04,400,0.001975,0.001975,0.0,0.212775,0.0384,212.775,0.0,0,100,False,0.3963400470241636,0.0063974135555326
m1_env_A_sc030,baseline,42,600,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep600.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep600.pt,configs/m1_env_A_sc030.yaml,80000,64,62317,209,215,17259,0.6337839682251669,0.0039224335376465,0.2571206418854623,209,215,0.4311995246198309,1.0,0.0018057886045426,0.0024399915710091,0.0154618816450238,0.0018057882552966,1.0,0.0018801664700731,0.0018329170998185,0.0024399915710091,0.0018801664700731,1.0,0.0069887107238173,0.0154618816450238,0.0018329170998185,0.0069887107238173,1.0,209,62317,209,215,0,17259,0.0018801664700731,-1.1920928955078125e-07,0.0155063867568969,0.0128541588783264,0.0278295874595642,0.0155063867568969,1.1920928955078125e-07,0.0011300444602966,0.0710589885711669,0.0128541588783264,0.0011300444602966,0.0,0.0712496638298034,0.0278295874595642,0.0710589885711669,0.0712496638298034,-1.1920928955078125e-07,62317,209,215,0,17259,0.0011300444602966,128,-0.2759865522384643,0.2561675608158111,-0.3047471642494201,0.3153545260429382,513.51,600,0.002275,0.002275,0.0,0.2149,0.0334875,214.9,0.0,0,100,False,0.4311995246198309,0.0018801664700731
m1_env_A_sc030,baseline,42,800,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep800.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep800.pt,configs/m1_env_A_sc030.yaml,80000,64,60044,125,135,19696,0.6450534512596091,0.00317303111245,0.2679933265376721,125,135,0.3925925925925926,1.0,0.0037270104512572,0.0226216614246368,0.0158980190753936,0.0037270097527652,1.0,0.0043817921541631,0.0141508327797055,0.0226216614246368,0.0043817912228405,1.0,0.0167743321508169,0.0158980190753936,0.0141508327797055,0.0167743377387523,1.0,125,60044,125,135,0,19696,0.0043817921541631,0.0,0.0396994948387146,0.0541023612022399,0.0298600196838378,0.0396994948387146,-1.1920928955078125e-07,0.0023631453514099,0.1276503205299377,0.0541023612022399,0.0023631453514099,0.0,0.1559512615203857,0.0298600196838378,0.1276503205299377,0.1559512615203857,0.0,60044,125,135,0,19696,0.0023631453514099,128,-0.429085224866867,0.1940254718065261,-0.4514023065567016,0.434602677822113,613.05,800,0.0018875,0.0018875,0.0,0.2412375,0.0254875,241.2375,0.0,0,100,False,0.3925925925925926,0.0043817921541631
m1_env_A_sc030,baseline,42,1000,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep1000.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep1000.pt,configs/m1_env_A_sc030.yaml,80000,64,62626,64,66,17244,0.6701602401014461,0.005181328217245,0.2722426553818337,64,66,0.3217103409411101,1.0,0.0084349075332283,0.0292037948966026,0.033527560532093,0.0084349075332283,1.0,0.004810974933207,0.0077632539905607,0.0292037948966026,0.0048109740018844,1.0,0.0090665575116872,0.0335275642573833,0.0077632539905607,0.0090665575116872,1.0,64,62626,64,66,0,17244,0.004810974933207,0.0,0.0071609020233154,0.0060868859291076,0.0228661298751831,0.0071609020233154,0.0,0.0001772046089172,0.03897225856781,0.0060868859291076,0.0001772046089172,0.0,0.038725197315216,0.0228661298751831,0.03897225856781,0.038725197315216,0.0,62626,64,66,0,17244,0.0001772046089172,118,-0.2890943884849548,0.1734313070774078,-0.2999361157417297,0.301178365945816,1008.72,1000,0.000775,0.000775,0.0,0.239975,0.0140999999999999,239.975,0.0,0,100,True,,
m1_env_A_sc030,baseline,42,1200,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep1200.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep1200.pt,configs/m1_env_A_sc030.yaml,80000,64,63041,47,47,16865,0.6983127972832923,0.0105230302020311,0.2977735493406278,47,47,0.2388888888888888,1.0,0.0082642249763011,0.0068309823982417,0.0410817340016365,0.0082642249763011,1.0,0.9521329998970032,0.203965350985527,0.0068309823982417,0.9521329998970032,1.0,0.1875926405191421,0.0410817340016365,0.203965350985527,0.1875926852226257,1.0,47,63041,47,47,0,16865,0.9521329998970032,0.0,0.0214967727661132,0.0153650641441345,0.0277158021926879,0.0214967727661132,5.960464477539064e-08,0.000823974609375,0.0961266756057739,0.0153650641441345,0.000823974609375,-1.1920928955078125e-07,0.0822610259056091,0.0277158021926879,0.0961266756057739,0.0822610259056091,-1.1920928955078125e-07,63041,47,47,0,16865,0.000823974609375,115,-0.1521129310131073,0.2316094487905502,-0.1594769358634948,0.2268490046262741,961.13,1200,0.0006,0.0006,0.0,0.2393625,0.009375,239.3625,0.0,0,100,True,,
m1_env_A_sc030,baseline,42,1400,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep1400.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep1400.pt,configs/m1_env_A_sc030.yaml,80000,64,66200,60,64,13676,0.7072822204031655,0.0051582691692953,0.3002204020347667,60,64,0.441292735042735,1.0,0.0172037612646818,0.0341250374913215,0.0155692622065544,0.0172037631273269,1.0,0.0469450205564498,0.0247701685875654,0.0341250374913215,0.0469450205564498,1.0,0.036075659096241,0.0155692622065544,0.0247701685875654,0.0360756516456604,1.0,60,66200,60,64,0,13676,0.0469450205564498,0.0,0.1354910135269165,0.147928774356842,0.0531743764877319,0.1354910135269165,0.0,0.0012124180793762,0.3394829034805298,0.147928774356842,0.0012124180793762,0.0,0.3563453555107116,0.0531743764877319,0.3394829034805298,0.3563453555107116,0.0,66200,60,64,0,13676,0.0012124180793762,122,-0.2475302666425705,0.2537014186382293,-0.2792857587337494,0.3045943975448608,1001.61,1400,0.000525,0.000525,0.0,0.1971875,0.006725,197.1875,0.0,0,100,True,,
m1_env_A_sc030,baseline,42,1600,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep1600.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep1600.pt,configs/m1_env_A_sc030.yaml,80000,64,64997,106,111,14786,0.7123077404873804,0.0032925456885906,0.2849931633950347,106,111,0.2451474085861437,1.0,0.0388087518513202,0.0146100744605064,0.021845418959856,0.0388087518513202,1.0,0.0141675043851137,0.0091556189581751,0.0146100744605064,0.0141675043851137,1.0,0.0331396982073783,0.021845418959856,0.0091556189581751,0.0331396982073783,1.0,106,64997,106,111,0,14786,0.0141675043851137,0.0,0.0096640586853027,0.0133154988288879,0.0626178383827209,0.0096640586853027,5.960464477539064e-08,0.0003184676170349,0.1162903904914856,0.0133154988288879,0.0003184676170349,0.0,0.1274367570877075,0.0626178383827209,0.1162903904914856,0.1274367570877075,-1.1920928955078125e-07,64997,106,111,0,14786,0.0003184676170349,128,-0.1362311989068985,0.2661021053791046,-0.1433999836444854,0.2406626939773559,1022.5,1600,0.0017625,0.0017625,0.0,0.191675,0.0212875,191.675,0.0,0,100,False,0.2451474085861437,0.0141675043851137
m1_env_A_sc030,baseline,42,1800,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep1800.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep1800.pt,configs/m1_env_A_sc030.yaml,80000,64,59338,148,154,20360,0.66832118811271,0.0031950879182492,0.2808958762308662,148,154,0.299397231491781,1.0,0.0076937186531722,0.0159841235727071,0.00928545743227,0.0076937186531722,1.0,0.031168745830655,0.0126524902880191,0.0159841235727071,0.0311687383800745,1.0,0.0197684094309806,0.00928545743227,0.0126524902880191,0.0197684094309806,1.0,148,59338,148,154,0,20360,0.031168745830655,-1.1920928955078125e-07,0.0316428542137146,0.0282304286956787,0.0415396094322204,0.0316428542137146,5.960464477539064e-08,0.0002420544624328,0.1409868597984314,0.0282304286956787,0.0002420544624328,0.0,0.1339591145515442,0.0415396094322204,0.1409868597984314,0.1339591145515442,-1.1920928955078125e-07,59338,148,154,0,20360,0.0002420544624328,128,-0.0823896378278732,0.3048729300498962,-0.1013455465435981,0.2607526779174804,974.26,1800,0.0016,0.0016,0.0,0.25755,0.0207499999999999,257.55,0.0,0,100,False,0.299397231491781,0.031168745830655
m1_env_A_sc030,baseline,42,2000,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep2000.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep2000.pt,configs/m1_env_A_sc030.yaml,80000,64,62818,94,97,16991,0.7192948235380789,0.0049293712515171,0.2923878591213756,94,97,0.2169498307171437,1.0,0.0072796186432242,0.0242053233087062,0.0165042821317911,0.0072796186432242,1.0,0.0390930101275444,0.0259687099605798,0.0242053233087062,0.0390930101275444,1.0,0.0148259745910763,0.0165042821317911,0.0259687099605798,0.0148259745910763,1.0,94,62818,94,97,0,16991,0.0390930101275444,5.960464477539064e-08,0.0156557559967041,0.0098330378532409,0.0688158869743347,0.0156557559967041,0.0,0.0007919669151306,0.1458925604820251,0.0098330378532409,0.0007919669151306,0.0,0.1266274452209472,0.0688158869743347,0.1458925604820251,0.1266274452209472,-1.1920928955078125e-07,62818,94,97,0,16991,0.0007919669151306,128,-0.0587297677993774,0.2779825925827026,-0.0661337375640869,0.2338908165693283,968.23,2000,0.0011,0.0011,0.0,0.2377874999999999,0.018025,237.7875,0.0,0,100,True,,
